timestamp,fusion_label,confidence_tier,confidence_score,deep_score,happiness,sadness,anger,fear,disgust,surprise
2025-08-13T21:55:09.136698,LIVE,High Confidence,0.9559002212642393,0.9976173639297485,0.09108732,0.15496762,0.14479826,0.2261349,0.035066202,0.34794566
2025-08-13T21:55:10.719502,LIVE,High Confidence,0.9382198088931054,0.5931940078735352,0.110669196,0.09407355,0.05578371,0.16681927,0.030812722,0.5418415
2025-08-13T21:55:11.809844,LIVE,High Confidence,0.9710548604394972,0.9740833044052124,0.09826106,0.05099341,0.15669435,0.19580945,0.01926859,0.4789731
2025-08-13T21:55:12.685045,SPOOF,High Confidence,0.958425963736072,0.32706618309020996,0.108597144,0.04312243,0.16739142,0.24326748,0.019329676,0.4182919
2025-08-13T21:55:13.746187,LIVE,High Confidence,0.9660033140477445,0.7762168645858765,0.07533946,0.021721251,0.11833667,0.14815815,0.009236078,0.6272084
2025-08-13T21:55:14.720851,LIVE,High Confidence,0.9710548604394972,0.9630486369132996,0.0611572,0.025529953,0.08284393,0.13735643,0.009670582,0.68344194
2025-08-13T21:55:15.824366,LIVE,High Confidence,0.9710548604394972,0.979073703289032,0.062413942,0.024920478,0.08451605,0.13393508,0.009909525,0.6843049
2025-08-13T21:55:16.686672,SPOOF,High Confidence,0.9660032833237009,0.37326133251190186,0.058422215,0.025547504,0.09765793,0.1254866,0.009643203,0.6832426
2025-08-13T21:55:17.742672,LIVE,High Confidence,0.968529087243621,0.9896008968353271,0.041458234,0.039307624,0.07590448,0.14196886,0.009620808,0.69174004
2025-08-13T21:55:18.688924,LIVE,High Confidence,0.9710548604394972,0.9940302968025208,0.05658118,0.03104564,0.10638077,0.18946695,0.011571743,0.60495377
2025-08-13T21:55:19.713193,LIVE,High Confidence,0.968529087243621,0.9702484011650085,0.049394995,0.035460457,0.07030801,0.16295324,0.011160895,0.67072237
2025-08-13T21:55:20.668610,LIVE,High Confidence,0.9660033140477445,0.8095314502716064,0.034936693,0.04789878,0.042034987,0.1751149,0.011405738,0.6886089
2025-08-13T21:55:21.777038,LIVE,High Confidence,0.9710548604394972,0.7622556686401367,0.06771092,0.033453137,0.09261617,0.152691,0.01197507,0.64155364
2025-08-13T21:55:22.766139,LIVE,High Confidence,0.968529087243621,0.9912029504776001,0.070275635,0.028378382,0.09917562,0.12982206,0.009806019,0.6625423
2025-08-13T21:55:23.742008,LIVE,High Confidence,0.9660033140477445,0.9624620676040649,0.071603075,0.026226342,0.11022067,0.15453069,0.010263746,0.6271554
