deep_score,deep_class,micro_score_anger,micro_score_disgust,micro_score_fear,micro_score_happiness,micro_score_sadness,micro_score_surprise,micro_class,fusion_label
0.8187,0,0.0005530000198632,0.9890999794006348,0.0008229999803006,0.0003159999905619,0.0010539999930188,0.0081529999151825,1,LIVE
0.8847,0,0.9235140085220336,0.0029849999118596,0.0065779997967183,0.0568719990551471,0.0038089998997747,0.0062420000322163,0,LIVE
0.7979,0,0.0003629999991971,0.9946929812431335,0.0010570000158622,0.0002149999927496,0.0004590000025928,0.0032120000105351,1,LIVE
0.9231,0,0.0209369994699955,0.0180350001901388,0.0800869986414909,0.0303990002721548,0.0441799983382225,0.8063610196113586,5,LIVE
0.8705,0,0.0003039999864995,0.9925379753112792,0.0005070000188425,0.0003940000024158,0.0010049999691545,0.0052519999444484,1,LIVE
0.8357,0,0.0161290001124143,0.706404983997345,0.0111360000446438,0.0087959999218583,0.2047770023345947,0.0527580007910728,1,LIVE
0.8416,0,0.0006450000219047,0.9768540263175964,0.0009250000002793,0.0010629999451339,0.0024820000398904,0.0180309992283582,1,LIVE
0.9296,0,0.0012499999720603,0.9881839752197266,0.0016540000215172,0.001010000007227,0.0017359999474138,0.0061650001443922,1,LIVE
0.8833,0,0.0960969999432563,0.5333729982376099,0.0135300001129508,0.0513730011880397,0.0676359981298446,0.2379920035600662,1,LIVE
0.8441,0,0.0011340000201016,0.9886599779129028,0.0006569999968633,0.0006319999811239,0.0014710000250488,0.0074450001120567,1,LIVE
0.8229,0,0.0005089999758638,0.9854779839515686,0.0018119999440386,0.0006960000027902,0.0012260000221431,0.0102800000458955,1,LIVE
0.8791,0,0.0002830000012181,0.9956200122833252,0.0004729999927803,0.0001449999981559,0.0004140000091865,0.0030640000477433,1,LIVE
0.7652,0,0.0002779999922495,0.995395004749298,0.0005680000176653,0.0001420000044163,0.0004170000029262,0.0031999999191612,1,LIVE
0.8492,0,0.0006760000251233,0.9809669852256776,0.0023580000270158,0.000555999984499,0.0011889999732375,0.0142550002783536,1,LIVE
0.8638,0,0.0019280000124126,0.9762539863586426,0.0011530000483617,0.0015660000499337,0.003398000029847,0.0157009996473789,1,LIVE
0.8399,0,0.0218349993228912,0.9163359999656676,0.0084330001845955,0.0052200001664459,0.0105269998311996,0.0376500003039836,1,LIVE
0.8577,0,0.00583800021559,0.1033520027995109,0.0082539999857544,0.1799329966306686,0.0096330000087618,0.6929910182952881,5,LIVE
0.8746,0,0.0001699999993434,0.9963849782943726,0.0002579999854788,0.0002070000045932,0.0006339999963529,0.0023449999280273,1,LIVE
0.7969,0,0.0003619999915827,0.9923110008239746,0.0002800000074785,0.0004199999966658,0.0011549999471753,0.005470999982208,1,LIVE
0.787,0,0.0019789999350905,0.9776840209960938,0.0015429999912157,0.0103869996964931,0.0026430001016706,0.0057640001177787,1,LIVE
